수집시간,언론사,제목,게시시간
2026-03-28 10:32,아이뉴스24,"카메라 비추고 질문하면 AI가 답변⋯구글, '서치 라이브' 韓 출시",52분전
2026-03-28 10:32,머니투데이,"""또 올랐다"" 넷플릭스 美구독료 최대 2달러 인상…한국도 '비상'",1시간전
2026-03-28 10:32,조선비즈,"삼성전자, 갤S26 울트라로 BTS 월드투어 ‘아리랑’ 담는다",1시간전
2026-03-28 10:32,조선비즈,400만장 돌파 기대 ‘붉은사막’… 혹평 뒤집고 흥행 반전,1시간전
2026-03-28 10:32,매일경제,“소프트웨어 호러 닥쳤다”…‘월 1억회 다운’ 오픈소스 AI 도구에 악성코드,1시간전
2026-03-28 10:32,뉴시스,"'맥북병', 99만원이면 완치?…직장인 '서브 노트북' 정석 될까",1시간전
2026-03-28 10:32,디지털데일리,"""엔비디아 없어도 된다""… 바이트댄스·알리바바, 화웨이 신형 AI 칩에 '베팅'",1시간전
2026-03-28 10:32,디지털타임스,비트코인 6.6만달러도 ‘위태’…중동전 장기화에 ‘외통수’,2시간전
2026-03-28 10:32,디지털데일리,취업 준비하고 영화 봤을 뿐인데…줄줄이 새는 개인정보,2시간전
2026-03-28 10:32,디지털데일리,"[네카오는 지금] ""실적 좋은데 주가는 왜""…속 타는 주주들",2시간전
2026-03-28 10:32,지디넷코리아,나프타 쇼크에 포장재 비상…파우치 배터리는 괜찮나,2시간전
2026-03-28 10:32,이데일리,“가파른 곳도 ‘쑥~’” 배 농장 어르신들 팬덤 만든 ‘로봇’[잇:써봐],2시간전
2026-03-28 10:32,지디넷코리아,[카드뉴스] AI가 똑똑해지면 메모리가 필요없어질까,2시간전
2026-03-28 10:32,이데일리,"메쥬, 상장 첫날 공모가 대비 81% 급등…코오롱티슈진·메디포스트도 '들썩'[바이오맥짚기]",2시간전
2026-03-28 10:32,동아사이언스,"식물원인 줄 알았는데 병원, 건축이 기후위기에 맞서는 법",2시간전
2026-03-28 10:32,지디넷코리아,"[AI는 지금] ""규제보다 실행""… 트럼프, 'AI 연합군' 앞세워 반도체·전력망 병목 뚫는다",3시간전
2026-03-28 10:32,서울경제,AX에 보안 중요성 ‘껑충’… “우수 인력으로 양자내성암호 전환 선도”,3시간전
2026-03-28 10:32,연합뉴스,"[바이오사이언스] '오운완' 2040이 젤라틴 챙기는 이유…""99% 순수 단백질""",3시간전
2026-03-28 10:32,머니투데이,"'1500% 폭증' 클로드 서비스, 챗GPT 추월…AI 영원한 승자는 없다",3시간전
2026-03-28 10:32,서울경제,"[지금, 명의] “눈앞 날파리 갑자기 수천 개…망막박리 ‘즉시 검사’ 하세요”",3시간전
2026-03-28 10:32,연합뉴스,[테크톡노트] 딥시크 데자뷔…구글 '터보퀀트'의 등장,3시간전
2026-03-28 10:32,뉴스1,수장 연임 확정한 카카오 그룹…'수익화·글로벌 확장' 힘 준다,3시간전
2026-03-28 10:32,서울경제,"[지금, 명의] “발바닥이 찌릿·먹먹하면 신경 문제…빨리 치료 받아야”",3시간전
2026-03-28 10:32,노컷뉴스,"'허블'이 밝혀낸 '게 성운', '허블'이 25년 만에 다시 바라보다[코스모스토리]",3시간전
2026-03-28 10:32,아이뉴스24,"엔씨, 2030년까지 매출 5조원…증권가도 '불가능한 목표 아냐""",3시간전
2026-03-28 10:32,머니투데이,"꽉꽉 눌러 담은 99만원 아이폰…""이것 참 아쉽네""[테크로그]",3시간전
2026-03-28 10:32,아시아경제,[AI세계속으로]성인모드 보류·소라 철수…솎아내기 나선 오픈AI,3시간전
2026-03-28 10:32,뉴시스,"""월드컵은 공짜, BTS는 유료?""…'안테나' 시대에 갇힌 방송법[보편시청권 논란 上]",4시간전
2026-03-28 10:32,미디어오늘,"넷플릭스, 1년 만에 또 가격 인상한다",4시간전
2026-03-28 10:32,아이뉴스24,'콜 차단 의혹' 카카오모빌리티 첫 재판서 전면 부인,4시간전
2026-03-28 10:32,연합뉴스,[AI돋보기] 송유관 대신 데이터센터…'전쟁 표적' 된 AI 인프라,4시간전
2026-03-28 10:32,아시아경제,[주말엔게임]'아크' 이어 '데이브'·'붉은사막'까지…K콘솔 흥행가도,4시간전
2026-03-28 10:32,연합뉴스TV,[알아BIO] 코스닥 주도주 된 제약바이오…마냥 웃을 수는 없다?,4시간전
2026-03-28 10:32,경향신문,챗GPT ‘즉시 결제’ 접었다…‘AI 쇼핑’ 야심과 현실의 간극[산업이지],4시간전
2026-03-28 10:32,뉴시스,"""AI 답변 비용 최대 6배 낮춘다?""…구글 '터보퀀트' 뭐길래 [터보퀀트 쇼크 ①]",5시간전
2026-03-28 10:32,뉴스1,"4월부터 약물 운전 단속, 처벌 강화…""이 약 먹었다면 자제하자""",5시간전
2026-03-28 10:32,서울경제,외국인 51조 던졌다…코스피 ‘반도체 집중 매도’,시간 없음
2026-03-28 10:32,서울경제,"AI 수요 늘었지만 수익성 부담…LS전선, STO로 1조 조달 추진",시간 없음
2026-03-28 10:32,디지털데일리,"NHN, '벅스' 매각 무산…""인수자 잔금 미납으로 계약 해지""",시간 없음
2026-03-28 10:32,디지털데일리,"이란 전쟁 장기화 우려↑, 美 뉴욕증시  꽁꽁…나스닥, 이틀째 2%대 급락",시간 없음
